"","businessID","zip","businessName","city","lat","long","averageReviewBusiness","reviewCountBusiness","isOpen","percAsian","percBlack","percWhite","percHispanic","percNHW","zipPopulation","zipYouthPopulation","medianIncome","percBachelors","avgReviewStars","avgUserPastReview","avgDaysSinceJoined","sumUsefulRev","sumFunny","sumCool","sumUserReviews","sumUsefulUser","sumFunnyUser","sumCoolUser","sumFans","sumHotComp","sumMoreComp","sumProfileComp","sumCuteComp","sumListComp","sumNoteComp","sumPlainComp","sumCoolComp","sumFunnyComp","sumWriterComp","sumPhotoComp"
"23","-6h3K1hj0d4DRcZNUtHDuw",85254,"""""""""""""""""Brio Tuscan Grille""""""""""""""""","Scottsdale",33.62541,-111.9251,3.5,449,1,5.9485,1.7196,87.2599,6.3632,82.948,50651,6.6593,112858,33.6723,3.90243902439024,3.97024390243902,728.707317073171,29,11,22,6014,76162,65761,73883,953,5140,584,584,291,162,3431,8389,8982,8982,2693,2281
"24","-6tvduBzjLI1ISfs3F_qTg",85234,"""""""""""""""""Joyride Taco House""""""""""""""""","Gilbert",33.35496,-111.7897,4,958,1,5.0107,3.1823,80.8642,15.7473,71.6822,54803,8.9721,94278,25.6054,3.91428571428571,3.8772380952381,1027.1619047619,97,56,59,8401,10403,5803,8093,687,4907,314,129,161,24,2691,3305,5169,5169,696,1217
"25","-79cl_yASWXiv7RmzirNxA",85255,"""""""""""""""""Village Inn""""""""""""""""","Scottsdale",33.64037,-111.9259,3,17,1,5.0014,1.4558,90.0477,4.6037,86.6275,41488,3.7746,132366,34.6598,4,4.12,1168,0,0,0,89,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"26","-7d3UqQYYcBxbDH2do86sg",85382,"""""""""""""""""Noodles & Company""""""""""""""""","Peoria",33.63788,-112.2218,3.5,50,1,3.8377,2.9447,85.3809,11.4585,78.2713,44011,7.6208,82325,20.6839,2.5,3.125,470.5,1,0,0,63,10,0,0,1,0,0,0,0,0,4,0,0,0,0,0
"27","-7HB0UjguXW8csOH9svG4Q",85210,"""""""""""""""""Sonic Drive-In""""""""""""""""","Mesa",33.39372,-111.8445,2,35,1,2.799,4.9734,56.9105,49.494,34.6318,37942,12.5323,46173,11.538,1,1.125,329.5,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28","-8JaNeG3etLgOVyg2gOIiA",85018,"""""""""""""""""La Fontanella Restaurant""""""""""""""""","Phoenix",33.49462,-111.9898,4,61,0,2.5345,3.4371,79.8221,19.8288,68.9908,38666,6.7294,71919,28.8783,3.33333333333333,3.09333333333333,751,2,0,0,346,0,0,2,5,0,3,0,0,0,0,0,2,2,1,0
"29","-8QlV3b_9H4BAh6LgMIr1g",85282,"""""""""""""""""Nandini Indian Cuisine""""""""""""""""","Tempe",33.4066,-111.9075,4,436,1,5.0545,7.0025,68.5852,24.405,56.3583,55337,18.8373,60423,23.2782,4.48717948717949,4.07589743589744,834.179487179487,19,15,11,1058,214,36,39,30,4,6,0,0,0,16,16,15,15,5,6
"30","-9eNGMp8XiygI8t8QFuFWw",85044,"""""""""""""""""The Melting Pot - Phoenix""""""""""""""""","Phoenix",33.31621,-112.0042,3.5,255,1,5.8737,7.4165,75.0658,14.6657,66.2738,40639,8.6026,85331,28.3095,3.15789473684211,3.80263157894737,747.473684210526,27,8,5,672,256,78,42,29,11,2,0,1,0,8,32,34,34,10,4
"31","-9nai28tnoylwViuJVrYEQ",85251,"""""""""""""""""Tapas Papa Frita""""""""""""""""","Scottsdale",33.498914,-111.928574,3.5,412,1,2.6717,3.0171,82.264,17.2415,71.9463,38216,10.3622,63576,27.8518,3.125,3.62675,942.775,115,48,51,4899,26714,14117,18464,828,3674,201,342,114,72,1877,6064,6300,6300,1481,1753
"32","-9xZZLLxuQabvBDODqpM-g",85210,"""""""""""""""""Lava Cafe and Hookah Lounge""""""""""""""""","Mesa",33.39446,-111.8541,4.5,13,1,2.799,4.9734,56.9105,49.494,34.6318,37942,12.5323,46173,11.538,3,3.82,497,0,0,0,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","-A9sm-E6uQxWTJ_MuyOzFw",85016,"""""""""""""""""Zen 32""""""""""""""""","Phoenix",33.51006,-112.0142,3,105,0,3.3465,5.5353,67.1111,31.558,51.0091,38697,8.042,53950,23.5595,4,3.75333333333333,113.666666666667,10,10,5,2197,4107,2404,4878,257,352,57,51,30,37,334,526,589,589,220,76
"34","-aaVZUYi4Ys_DP0rcBsFTg",85379,"""""""""""""""""Country Kitchen""""""""""""""""","Surprise",33.60892,-112.359,3,16,0,4.5839,7.1807,72.4547,21.1119,61.5683,45093,7.1075,87130,16.9518,2.33333333333333,3.43,216.666666666667,2,1,2,299,406,62,73,14,3,1,0,2,1,19,8,10,10,8,0
"35","-aGDIa9q_1alWtiLIlpjxw",85224,"""""""""""""""""Heavenly Bakeshop and Catering""""""""""""""""","Chandler",33.33725,-111.8753,3.5,32,1,7.5767,5.3383,70.5426,20.8198,58.8215,48161,10.4732,78419,24.1188,1.5,3.49,1174.5,0,0,0,40,11,2,0,0,0,0,0,0,0,1,2,0,0,0,0
"36","-aqb_GgAbEIOdhbY0UDKog",85251,"""""""""""""""""Relish Burger Bistro""""""""""""""""","Scottsdale",33.50578,-111.9482,4,105,1,2.6717,3.0171,82.264,17.2415,71.9463,38216,10.3622,63576,27.8518,3.22222222222222,3.56444444444444,1138.77777777778,4,2,4,1239,3911,210,1670,48,10,13,1,3,0,49,34,33,33,29,11
"37","-bd4BQcl1ekgo7avaFngIw",85254,"""""""""""""""""Eggstasy""""""""""""""""","Scottsdale",33.58251,-111.9312,3.5,545,1,5.9485,1.7196,87.2599,6.3632,82.948,50651,6.6593,112858,33.6723,3.44444444444444,3.62511111111111,926.511111111111,30,5,9,3921,1757,607,1429,305,310,33,19,11,8,225,514,528,528,128,103
"38","-Bdw-5H5C4AYSMGnAvmnzw",85006,"""""""""""""""""Tuck Shop""""""""""""""""","Phoenix",33.47284,-112.0561,4.5,531,1,1.0438,5.8985,47.805,70.5562,15.4241,28838,10.3579,22962,9.1773,4.296875,3.89265625,813.984375,99,43,72,6620,18271,5650,11881,613,1560,126,60,96,31,808,1701,1964,1964,521,129
"39","-bMZCfTK7fxFaURynKpBMA",85006,"""""""""""""""""Mariscos Playa Hermosa""""""""""""""""","Phoenix",33.45751,-112.0473,4.5,442,1,1.0438,5.8985,47.805,70.5562,15.4241,28838,10.3579,22962,9.1773,4.23076923076923,3.96025641025641,724.641025641026,41,12,17,2166,881,467,523,222,74,36,8,3,15,123,158,193,193,115,41
"40","-brl_eIReELetKiL0yK40Q",85301,"""""""""""""""""ZiNG""""""""""""""""","Glendale",33.53846,-112.1846,4.5,17,0,2.1697,8.8787,47.7735,61.957,19.9377,66091,11.5931,34365,5.4694,4.5,3.96,848,5,3,4,692,17614,17329,17596,65,315,22,11,2,5,167,921,629,629,117,21
"41","-BrMNg4MbpftOUTjOMVp9g",85260,"""""""""""""""""Mint Indian Cuisine""""""""""""""""","Scottsdale",33.58302,-111.8928,3.5,114,1,6.4001,1.8788,87.0708,6.2155,82.5393,39546,6.7263,97408,35.9967,4.3,3.973,1197.9,10,0,7,415,126,10,9,10,1,2,0,0,0,5,7,6,6,4,2
"42","-BxWyEIQ6wypT-37MzZizQ",85004,"""""""""""""""""Carly's Bistro""""""""""""""""","Phoenix",33.45883,-112.0715,4,367,1,2.4009,11.5211,61.1505,34.3055,45.0854,6206,26.5549,38311,17.3162,3.83333333333333,3.71944444444444,556.277777777778,62,26,44,6521,29348,19263,28214,1174,2287,169,186,286,162,1846,4602,3168,3168,781,520
"43","-c_MUp1XdJnC8LofTEPLTA",85201,"""""""""""""""""Red Brick Pizza""""""""""""""""","Mesa",33.43173,-111.8432,3,6,0,2.3786,6.0781,61.9724,39.608,41.8175,50871,12.746,43045,14.8867,2,3.99,319,2,2,2,69,12,21,4,4,1,0,0,0,0,2,3,1,1,2,1
"44","-cBQKodqi77Q0vk-9iDvQA",85281,"""""""""""""""""Fat Tuesday""""""""""""""""","Tempe",33.42381,-111.9402,3.5,186,1,8.0623,6.266,64.565,25.9971,51.8617,64188,42.7354,38964,22.7954,3.66666666666667,3.84444444444444,671.166666666667,16,18,12,4466,8486,2333,7858,532,539,66,45,44,25,433,961,844,844,349,91
"45","-CfFjcCcGGDM9MVH_d42RQ",85286,"""""""""""""""""The Ivy""""""""""""""""","Chandler",33.27627,-111.875,4,242,1,14.3395,5.309,68.5625,16.9225,58.7195,39876,7.0594,104648,29.7289,3.79166666666667,3.67416666666667,921.583333333333,12,0,3,516,74,12,36,15,9,2,1,0,0,8,9,10,10,7,1
"46","-d1xHUrLRbfJNqd5A_uP6A",85012,"""""""""""""""""The Good Egg - Uptown""""""""""""""""","Phoenix",33.50961,-112.072,3,70,0,3.2798,6.2247,75.7292,18.8555,65.485,7165,8.2205,64645,26.1561,3.27272727272727,3.60363636363636,534.272727272727,9,5,3,1209,1986,781,1281,97,242,30,12,18,8,143,207,266,266,105,39
"47","-DaXLvd3M8OACEEuNR-BDQ",85226,"""""""""""""""""5 & Diner""""""""""""""""","Chandler",33.31885,-111.9696,3,13,0,11.8318,4.9183,71.9407,15.2458,62.6413,40949,9.6828,94685,27.7347,3.33333333333333,3.59333333333333,423.666666666667,2,1,2,1129,332,204,208,40,22,5,6,6,0,45,74,37,37,23,7
"48","-DcE_4T0_iRKGLARmjsjUw",85251,"""""""""""""""""El Ranchero Of Traditional Mexican Food""""""""""""""""","Scottsdale",33.48271,-111.935,4,26,0,2.6717,3.0171,82.264,17.2415,71.9463,38216,10.3622,63576,27.8518,3.66666666666667,4.29666666666667,645.333333333333,4,0,1,143,207,15,18,6,1,0,0,0,0,2,3,0,0,2,0
"49","-dgUbX_lFqklJuf29A7piQ",85004,"""""""""""""""""Matador Restaurant""""""""""""""""","Phoenix",33.44931,-112.0719,3,58,0,2.4009,11.5211,61.1505,34.3055,45.0854,6206,26.5549,38311,17.3162,2.75,3.6325,122.75,18,14,16,823,3043,2174,3301,106,301,30,10,10,31,167,279,294,294,65,17
"50","-dhuOV5E2-H0K39ez58K9A",85260,"""""""""""""""""Wendy's""""""""""""""""","Scottsdale",33.62618,-111.8914,2.5,21,1,6.4001,1.8788,87.0708,6.2155,82.5393,39546,6.7263,97408,35.9967,2,2.43666666666667,1252,2,1,2,1223,6526,5815,5966,115,417,31,10,5,6,252,510,520,520,168,36
"51","-dIguFQ4Q7pFV55JtzN48g",85286,"""""""""""""""""Biscuits Cafe""""""""""""""""","Chandler",33.27481,-111.8601,3,90,1,14.3395,5.309,68.5625,16.9225,58.7195,39876,7.0594,104648,29.7289,3.18181818181818,3.42090909090909,1088.63636363636,15,5,7,1042,329,160,171,82,49,7,0,3,0,61,150,146,146,59,70
"52","-Dnh48f029YNugtMKkkI-Q",85301,"""""""""""""""""La Piazza al Forno""""""""""""""""","Glendale",33.5384,-112.184,4,457,1,2.1697,8.8787,47.7735,61.957,19.9377,66091,11.5931,34365,5.4694,4.24561403508772,3.92614035087719,755.824561403509,66,25,37,4285,37883,16217,30018,441,1863,294,124,90,39,2054,4658,3211,3211,1829,1696
"53","-DrDzpZaMrNnH55ZVyTXRQ",85016,"""""""""""""""""Black Chile Mexican Grill""""""""""""""""","Phoenix",33.51021,-112.0272,3.5,95,0,3.3465,5.5353,67.1111,31.558,51.0091,38697,8.042,53950,23.5595,3.66666666666667,3.82833333333333,592.583333333333,11,5,6,2925,1621,836,1620,191,304,42,16,7,10,221,527,528,528,144,90
"54","-Du1WSRseqUXbCt_K-D-ww",85034,"""""""""""""""""Cousins Subs""""""""""""""""","Phoenix",33.44657,-111.9777,3.5,30,1,3.4009,12.0299,51.5471,57.1619,21.5524,7498,13.8704,32147,15.7438,3,3.24,731,1,3,1,291,66,11,4,2,0,0,0,0,0,2,6,0,0,1,0
"55","-e_UQJVTzIPweX4TcPUYVw",85016,"""""""""""""""""Mexx32""""""""""""""""","Phoenix",33.51128,-112.0137,4.5,177,0,3.3465,5.5353,67.1111,31.558,51.0091,38697,8.042,53950,23.5595,3.66666666666667,3.788,898.333333333333,13,12,7,6090,996,710,798,222,143,30,16,9,2,247,357,168,168,75,33
"56","-e60sMCKAqEUT_GSCS_3aw",85248,"""""""""""""""""Patsy Grimaldi's Pizzeria""""""""""""""""","Chandler",33.26166,-111.8607,4,112,0,7.2082,3.3995,81.8926,7.4997,77.0408,37388,4.0895,87599,29.1889,3.76923076923077,3.63461538461538,386.615384615385,12,10,8,1903,2430,813,1124,192,510,47,15,59,15,374,595,590,590,165,59
"57","-eFgzQuE3mKYuegdC2bhAQ",85298,"""""""""""""""""McDonalds""""""""""""""""","Gilbert",33.2357,-111.7211,1.5,59,1,7.6239,3.933,81.6751,12.1164,73.141,23951,4.5844,101051,29.0922,1,2.63333333333333,1025.16666666667,1,0,0,46,8,0,0,1,0,0,0,0,0,0,2,0,0,0,0
"58","-eoeNEsPZ5-Fookdtr8vBw",85331,"""""""""""""""""The Hideaway Grill""""""""""""""""","Cave Creek",33.8324,-111.9345,4,61,1,2.1596,0.8904,92.5211,5.9472,88.3115,30098,4.2827,113114,34.7964,4.66666666666667,3.48,1494.5,9,5,8,1746,21737,1805,4859,278,350,46,18,19,20,307,341,511,511,118,212
"59","-exEWEQ3iSMVC-QUP_ycPQ",85251,"""""""""""""""""The Original Marketplace""""""""""""""""","Scottsdale",33.49555,-111.9242,5,65,1,2.6717,3.0171,82.264,17.2415,71.9463,38216,10.3622,63576,27.8518,5,3.966,818.8,0,0,0,48,3,6,3,1,0,0,0,0,0,0,1,0,0,0,0
"60","-F5mm0-YeCI7viSiOwVAAw",85258,"""""""""""""""""Lox, Stock & Bagel""""""""""""""""","Scottsdale",33.54423,-111.9055,4,245,1,3.4656,1.3265,91.6467,4.557,88.3365,25104,4.1587,89237,31.622,3.95,3.733,717.5,21,9,12,2802,14792,13600,14506,631,3248,178,317,139,76,1688,5556,5497,5497,1186,1629
"61","-faYl3ejjjm7ciR_j1ke7A",85254,"""""""""""""""""Red Lobster""""""""""""""""","Scottsdale",33.59829,-111.9775,3,110,1,5.9485,1.7196,87.2599,6.3632,82.948,50651,6.6593,112858,33.6723,3.3,3.398,1030.6,5,5,2,756,136,18,22,36,10,3,4,2,0,13,30,23,23,16,16
"62","-fbn41vLse9LoEj72x_BTA",85226,"""""""""""""""""Charleys Philly Steaks""""""""""""""""","Chandler",33.28742,-111.9736,2.5,8,1,11.8318,4.9183,71.9407,15.2458,62.6413,40949,9.6828,94685,27.7347,4,3.69,419,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","-FLnsWAa4AGEW4NgE8Fqew",85251,"""""""""""""""""Breakfast Club- Scottsdale""""""""""""""""","Scottsdale",33.50004,-111.9263,4,878,1,2.6717,3.0171,82.264,17.2415,71.9463,38216,10.3622,63576,27.8518,3.81521739130435,3.90369565217391,779.597826086957,93,37,57,15883,82293,23429,56202,1993,6083,565,585,542,287,3987,8795,6671,6671,1701,1923
"64","-FrgepJj0h-OWU1CupUrOQ",85268,"""""""""""""""""Phil's Filling Station Grill""""""""""""""""","Fountain Hills",33.60578,-111.7156,3.5,96,1,2.352,1.1583,92.791,4.2799,89.9717,25468,4.3349,98541,29.6741,2.84615384615385,3.52076923076923,722.692307692308,9,1,0,1154,213,87,45,40,15,8,2,3,0,26,24,44,44,17,6
"65","-fSW_9x8c_wTm1zS4dz3rw",85395,"""""""""""""""""Express Donuts""""""""""""""""","Goodyear",33.46514,-112.3564,4.5,167,1,6.9199,7.1865,69.4947,23.3091,57.6483,30752,10.344,87968,20.1307,4.4375,3.843125,582.3125,11,2,0,640,355,61,45,34,19,3,2,1,0,29,31,20,20,7,2
"66","-FyfimfMvvOcMT7Cr4q2Aw",85308,"""""""""""""""""Chipotle Mexican Grill""""""""""""""""","Glendale",33.53865,-112.186,4,6,1,5.5721,2.8961,82.8933,12.1119,75.4883,72235,9.2047,89010,22.9104,2.5,3.39,184,0,0,0,55,81,9,6,3,1,1,0,0,0,1,3,3,3,0,0
"67","-gcS8S7aiHTwYROMC5QP5A",85282,"""""""""""""""""Schlotzsky's""""""""""""""""","Tempe",33.3924,-111.9611,3,61,1,5.0545,7.0025,68.5852,24.405,56.3583,55337,18.8373,60423,23.2782,2,3.232,1195.2,4,3,1,195,329,195,85,8,0,0,0,0,0,4,2,3,3,0,0
"68","-GpTZfp2qxyV-20Vu9_mBg",85248,"""""""""""""""""Earnest Restaurant""""""""""""""""","Chandler",33.23379,-111.8566,4,81,0,7.2082,3.3995,81.8926,7.4997,77.0408,37388,4.0895,87599,29.1889,4.125,4.175,1038,21,0,7,256,28,7,0,8,0,1,0,0,0,6,2,3,3,0,0
"69","-gSzbTfD08Amjqv-YvvoJA",85233,"""""""""""""""""Buffalo Wild Wings""""""""""""""""","Gilbert",33.34945,-111.822,3,54,0,7.9519,4.1452,74.8702,18.2646,64.5963,43713,9.4091,95647,24.3032,3.75,3.875,166.25,6,5,5,220,1345,784,1200,25,106,9,3,8,6,52,151,140,140,18,5
"70","-gTX7XKGOntF2FQ1EDxHpA",85340,"""""""""""""""""KFC""""""""""""""""","Litchfield Park",33.4938,-112.34,1.5,25,1,6.3403,8.5318,66.9274,27.4037,52.4734,31576,7.9079,85461,20.3339,1.75,3.22,494.25,4,2,3,366,23,3,1,4,1,2,1,0,0,5,4,2,2,2,1
"71","-GUi0xyzwT9KJPS0v96dRA",85257,"""""""""""""""""Piza Pizza""""""""""""""""","Scottsdale",33.4652,-111.9284,2.5,28,1,2.7103,2.8998,78.074,20.2341,67.2261,29554,9.8971,62205,22.7397,1.5,2.555,1045.5,5,5,3,34,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"72","-Gy0BAMgRN4sGlY7theqxQ",85283,"""""""""""""""""MOD Pizza""""""""""""""""","Tempe",33.34978,-111.9016,4,90,1,5.5397,7.6821,61.112,27.1088,49.1961,49010,13.7564,66559,22.2188,4.42857142857143,3.69571428571429,1329.14285714286,22,9,14,2427,10533,8626,10299,279,1914,90,89,26,15,399,1347,2139,2139,496,1662
"73","-H1-IzxW6CXmjhmF5F6iMA",85048,"""""""""""""""""Green Tea Chinese Restaurant""""""""""""""""","Phoenix",33.30366,-111.9985,3.5,29,1,8.3555,5.4155,76.8747,12.2916,68.8978,37245,7.9796,111365,32.8834,3,3.58,1198.5,5,0,0,61,107,25,27,1,0,0,0,0,0,1,4,0,0,1,0
"74","-hMdEBaeky47g4D8-0Xl3Q",85268,"""""""""""""""""Vu Bistro""""""""""""""""","Fountain Hills",33.57814,-111.7615,3,83,1,2.352,1.1583,92.791,4.2799,89.9717,25468,4.3349,98541,29.6741,3.61538461538462,4.06384615384615,797.384615384615,8,3,3,975,29,18,20,38,9,4,4,1,0,10,24,18,18,10,5
"75","-hn7E7b3VwRjwhNEDgmGIQ",85013,"""""""""""""""""Two Hippies Breakfast Joint""""""""""""""""","Phoenix",33.49877,-112.0835,3,55,0,3.6428,8.4916,69.0537,25.7737,54.3978,20067,8.2723,54131,22.4087,3,3.62625,783.875,24,12,11,1319,3249,2009,1366,201,685,48,21,43,14,305,768,495,495,114,22
"76","-HO8ejDGgvj_Guw3R6lH1g",85033,"""""""""""""""""Peter Piper Pizza""""""""""""""""","Phoenix",33.49357,-112.2047,3.5,11,1,1.094,5.8587,49.0527,78.9184,7.5912,61703,12.1064,37956,4.6482,1,1,723,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
